    PSR J      R.A. (J2000)        Dec. (J2000)         Period              Þ         Epoch         DM       Ơ,      Å
               hh mm ss                                   (s)             (10-15)    (MJD)       (cm33 pc)  (ms)
   1852-2610   18:52:59.478 (3)  -26:10:12.9 (3)   0.3363371205266 (4)   0.08784 (3) 49403.80   56.796 (5)  0.18 <-2.4
   1901-0906   19:01:53.017 (3)  -09:06:10.7 (2)   0.890963792376 (6)    0.8193 (3)  49618.60   72.670 (10) 0.32 <-1.7
   1904+0004   19:04:12.75 (2)   -00:04:05.0 (6)   0.139524614107 (4)    0.1180 (4)  49446.10  233.69 (4)   0.58 <-2.0
   1904-1224   19:04:33.289 (4)  -12:24:00.7 (3)   0.375404013204 (4)    0.3708 (2)  49540.30   118.20 (2)  0.45
   1932-3655   19:32:06.150 (8)  -36:55:02.1 (4)   0.5714203197 (1)      0.284 (3)   49542.52   59.880 (10) 0.67
   1940-2403   19:40:30 (20)     -24:03 (3)        0.927638 (1)                      49000.00   63.3 (1)
   1947-4215   19:47:06 (25)     -42:15 (3)        1.798069 (1)                      49000.00   35 (1)
   2005-0020   20:05:43.73 (6)   -00:20:20 (2)     1.139829126 (1)      12.82 (2)    49586.30   35.9 (2)    1.90
   2038-3816   20:38:54.19 (3)   -38:16:12 (1)     1.5772861550 (3)      4.134 (4)   49486.61   33.96 (6)
   2108-3429   21:08:30.49 (2)   -34:29:37.9 (4)   1.4231018383 (2)      3.503 (3)   49314.17   30.220 (10) 0.63
   2144-3933   21:44:12.10 (1)   -39:33:55.2 (3)   2.8366091640 (3)      0.160 (5)   49016.00    3.350 (10) 1.83
   2248-0101   22:48:26.889 (8)  -01:01:47.6 (3)   0.477233033691 (2)    0.65962 (10)  49367.30 29.061 (10) 0.48 <-2.0
   2346-0609   23:46:50.44 (1)   -06:09:58.9 (4)   1.181463212376 (9)    1.3622 (4)  49572.30   22.500 (8)  0.65
