id,name,nref,raj,rajerr,raref,decj,decjerr,dref,pmra_radio,pmraerr,prref,pmdec_radio,pmdecerr,pdref,px,pxerr,pxref,posepoch,poseref,p0,p0err,p0ref,p1,p1err,p1ref,dm,dmerr,dmref,dist,pb,pberr,pbref,survey,surveyref,BinComp,BinCompref,Type,TypeRef,Assoc,raj_now,decj_now
32,J0030+0451,lzb+00,7.6142812499999994,3.8e-05,aab+21a,4.861031,3.8e-05,aab+21a,-6.33,0.12,,0.8,0.28,,3.09,0.06,aab+21a,55664.0,aab+21a,0.0048654532114961,1.9e-15,aab+21a,1.0172e-20,8e-24,aab+21a,4.332772,0.0,aab+21a,0.324,,0.0,,"misc,lotaas,gbncc",,,"HE[btlb00,aaa+09e]",GRS:4FGL_J0030.4+0451[fermi21],,,7.61430108149662,4.8610284936494175
33,J0034-0534,bhl+94,8.590975916666666,8e-05,dcl+16,-5.576867222222222,8e-05,dcl+16,7.9,0.3,dcl+16,-9.2,0.6,dcl+16,,0.0,,55000.0,,0.001877181884585,2e-16,aaa+10b,4.966e-21,1e-24,aaa+10b,13.76517,4e-05,aaa+10b,1.348,1.58928182532,1.4e-10,dcl+16,"pks70,gbncc",He[bkb+95],,HE[aaa+10b],GRS:4FGL_J0034.3-0534[fermi21],,,8.590955155811182,-5.576843045022071
34,B0031-07,lvw69a,8.536959583333333,0.0001,cbv+09,-7.364835833333333,0.0001,cbv+09,10.37,0.08,cbv+09,-11.13,0.16,cbv+09,0.93,0.08,cbv+09,52275.0,cbv+09,0.9429509945598,1.7e-12,hlk+04,4.0821e-16,7e-21,hlk+04,10.922,0.006,srb+15,1.03,,0.0,,"mol1,pks70,lotaas",,,,,,,8.536953822222303,-7.364829649999965
35,J0034+69,slr+14,8.499999999999998,3.0,slr+14,69.71666666666667,3.0,slr+14,0.0,0.0,,0.0,0.0,,,0.0,,56292.0,,0.03680412,1.6e-07,slr+14,,0.0,,80.01,0.015,mss+20,2.283,,0.0,,gbncc,,,,,,,8.5,69.71666666666667
36,J0038-2501,acd+19,9.542766666666665,0.01,acd+19,-25.02520277777778,0.01,acd+19,0.0,0.0,,0.0,0.0,,,0.0,,57474.0,,0.2569264575329,1.7e-12,acd+19,7.6e-19,6e-21,acd+19,5.71,0.003,acd+19,0.604,,0.0,,gbncc,,,,,,,9.542766666666665,-25.025202777777782
37,J0039+35,scb+19,9.775,12.0,scb+19,35.75,12.0,scb+19,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.5367,0.0,scb+19,,0.0,,53.04,0.02,scb+19,25.0,,0.0,,lotaas,,,,,,,9.775000000000002,35.75
38,B0037+56,dtws85,10.134957916666666,0.0001,dgb+19,57.27356472222222,0.0001,dgb+19,12.39,0.05,dgb+19,-5.4,0.1,dgb+19,0.11,0.04,dgb+19,56000.0,dgb+19,1.1182253452412,1.3e-12,hlk+04,2.878973e-15,1.2e-20,hlk+04,92.5146,0.0025,bkk+16,2.42,,0.0,,"gb2,gbncc,lotaas",,,,,,,10.134915933494993,57.27358301995649
39,J0043-73,tsm+19,10.854166666666664,95.0,tsm+19,-73.18333333333334,95.0,tsm+19,0.0,0.0,,0.0,0.0,,,0.0,,57990.69,,0.93742937,2.6e-07,tsm+19,,0.0,,115.1,3.4,tsm+19,58.938,,0.0,,misc,,,,EXGAL:SMC,,,10.854166666666664,-73.18333333333334
40,J0045-7042,mfl+06,11.357041666666666,0.17,mfl+06,-70.70197222222222,0.17,mfl+06,0.0,0.0,,0.0,0.0,,,0.0,,52407.0,,0.63233580002,6e-11,mfl+06,2.49e-15,3e-17,mfl+06,70.0,3.0,mfl+06,59.7,,0.0,,misc,,,,EXGAL:SMC,,,11.357041666666667,-70.70197222222222
41,J0045-7319,mmh+91,11.3965,0.07,kbm+96,-73.3175,0.07,kbm+96,0.0,0.0,,0.0,0.0,,,0.0,,49144.0,,0.92627590497,3e-11,kbm+96,4.4632e-15,9e-19,kbm+96,105.4,0.7,kjb+94,59.7,51.169451,5e-06,kbm+96,misc,MS[bbs+95],,,EXGAL:SMC,,,11.3965,-73.3175
42,B0045+33,dtws85,12.141583333333333,0.021,hlk+04,34.202222222222225,0.021,hlk+04,0.0,0.0,,0.0,0.0,,,0.0,,49875.0,hlk+04,1.217094296058,8e-12,hlk+04,2.35454e-15,6e-20,hlk+04,39.922,0.015,bkk+16,4.5,,0.0,,"gb2,gb3,lotaas",,,,,,,12.141583333333331,34.202222222222225
43,J0050+03,dsm+16,12.629166666666666,110.0,dsm+16,3.8,110.0,dsm+16,0.0,0.0,,0.0,0.0,,,0.0,,57022.0,,1.36656,0.0,dsm+16,,0.0,,26.5,0.0,dsm+16,25.0,,0.0,,AO327,,,,,,,12.629166666666666,3.8000000000000007
44,J0051+0423,snt97,12.875416666666666,0.2,snt97,4.380277777777778,0.2,snt97,0.0,0.0,,0.0,0.0,,,0.0,,49800.0,,0.3547317989,1e-11,snt97,7e-18,2e-18,snt97,13.93,0.09,mss+20,1.25,,0.0,,"gb4,lotaas,gbncc",,,,,,,12.875416666666666,4.380277777777778
45,J0052-72,tsm+19,13.116666666666665,95.0,tsm+19,-72.08333333333333,95.0,tsm+19,0.0,0.0,,0.0,0.0,,,0.0,,58008.54,,0.191444328,4.6e-08,tsm+19,,0.0,,158.6,1.6,tsm+19,60.261,,0.0,,misc,,,,EXGAL:SMC,,,13.116666666666669,-72.08333333333333
46,J0054+69,kkl+15,13.616666666666665,25.0,kkl+15,69.43333333333334,25.0,kkl+15,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,,,0.0,,90.3,0.2,kkl+15,2.347,,0.0,,gbncc,,,RRAT[kkl+15],,,,13.616666666666669,69.43333333333335
47,J0054+6946,slr+14,13.746316666666665,0.0068,lsk+18,69.77134722222222,0.0068,lsk+18,0.0,0.0,,0.0,0.0,,,0.0,,56500.0,,0.832911328744,5e-12,lsk+18,7.194e-16,7e-19,lsk+18,116.52,0.05,lsk+18,2.758,,0.0,,gbncc,,,,,,,13.746316666666665,69.77134722222222
