#Table: J/MNRAS/353/1311/table6.dat (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------------------------------------------------------------
           |f|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |_|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |P|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |S|         |           |        |           |         |      |     |       |      |      |     |       |      |    |       |    |
           |R|         |           |        |           |         |      |  e_p|       |    e_|      |    e|       |      |    |       |    |
PSRJ       |J|PSRB     |       ELON|  e_ELON|       ELAT|   e_ELAT|pmELON|mELON| pmELAT|pmELAT|  pmRA|_pmRA|   pmDE|e_pmDE|NTOA|  Epoch|Span| tRMS
-----------|-|---------|-----------|--------|-----------|---------|------|-----|-------|------|------|-----|-------|------|----|-------|----|-----
J0538+2817 | |         | 85.232542 |.0000050| +4.93582  |0.0000800| -16. | 11. |   54. | 163. | -18. | 12. |   54. | 163. | 198|51434.0| 6.6|  127
J0543+2329 | |B0540+23 | 86.139502 |.0000030| +0.1018   |0.0015000|  11.8|  1.7| -400. |1100. |  22. | 32. | -400. |1100. | 577|48892.0|20.7|  131
J0601-0527 |g|B0559-05 | 90.563722 |.0000060|-28.902354 |0.0000120|  -7. |  5. |  -17. |  11. |  -7. |  5. |  -17. |  11. | 482|49379.0|16.2|  240
J0612+3721 | |B0609+37 | 92.622662 |.0000050|+13.95025  |0.0000300|   5. |  5. |    6. |  22. |   5. |  5. |    6. |  22. | 322|49679.0|16.0|  166
J0613-0200 | |         | 93.7989961|.0000006|-25.4071048|0.0000018|   2.1|   .8|  -10. |   3. |   1.8|  0.8|  -11. |   3. | 562|50823.0| 9.8|   36
J0614+2229 |g|B0611+22 | 93.29942  |.0000800| -0.893    |0.0060000|      |     |       |      |      |     |       |      | 877|49674.0|16.3| 6340
J0621+1002 | |         | 95.4053059|.0000005|-13.295008 |0.0000040|   3.3|   .7|    3. |   5. |   3.4|  0.8|    3. |   5. | 543|51312.0| 7.4|   14
J0624-0424 | |B0621-04 | 96.854538 |.0000120|-27.70866  |0.0000300|  14. | 11. |   -4. |  30. |  14. | 11. |   -4. |  30. | 344|49876.0|15.0|  524
J0629+2415 | |B0626+24 | 96.629379 |.0000050| +0.9900   |0.0004000|   9. |  5. |  400. | 300. |  32. | 15. |  400. | 300. | 428|49438.0|17.5|  279
J0630-2834 | |B0628-28 |100.95868  |.0000300|-51.72518  |0.0000300| -52. |  7. |   12. |   8. | -51. |  7. |   17. |   8. | 765|46603.0|33.0| 1194
J0631+1036 |g|         | 97.92141  |.0000600|-12.6060   |0.0003000|      |     |       |      |      |     |       |      | 308|51711.0| 5.4| 2567
J0653+8051 | |B0643+80 | 93.91232  |.0000400|+57.60847  |0.0000300|  35. | 16. |  -19. |  24. |  31. | 16. |  -25. |  23. | 273|48712.0|21.3|  664
J0659+1414 | |B0656+14 |104.643215 |.0000130| -8.44321  |0.0000900|  52. | 11. |    0. |  70. |  51. | 13. |   -5. |  69. | 767|49721.0|16.1| 1170
J0700+6418 | |B0655+64 | 98.682679 |.0000090|+41.320008 |0.0000100|  -6. |  5. |   -8. |   8. |  -7. |  5. |   -7. |   7. | 338|48806.0|20.9|  348
J0725-1635 | |         |116.20274  |.0000300|-38.12192  |0.0000400|   3. | 21. |  -11. |  58. |   0. | 18. |  -11. |  59. | 177|50884.0| 9.9|  530
J0729-1836 |g|B0727-18 |118.061107 |.0000140|-39.895379 |0.0000190|      |     |       |      |      |     |       |      | 528|49720.0|16.1|  752
J0742-2822 | |B0740-28 |125.334109 |.0000130|-48.713545 |0.0000120|      |     |       |      |      |     |       |      | 809|49326.0|18.6|  704
J0751+1807 | |         |116.3336177|.0000007| -2.807547 |0.0000170|  -0.4|  1.1|    4. |  23. |   1. |  4. |    4. |  22. | 438|50982.0| 9.1|   40
J0754+3231 | |B0751+32 |114.377422 |.0000140|+11.48739  |0.0000700| -22. | 10. |    6. |  53. | -21. | 15. |   10. |  52. | 413|48725.0|21.4|  777
J0758-1528 |g|B0756-15 |125.713521 |.0000040|-35.308281 |0.0000060| -15. |  3. |    4. |   6. | -13. |  3. |    8. |   6. | 408|49896.0|15.1|  190
J0814+7429 | |B0809+74 |104.19829  |.0000400|+52.70977  |0.0000400|  35. | 19. |  -39. |  22. |  18. | 20. |  -49. |  21. | 375|49162.0|19.2|  671
J0820-1350 | |B0818-13 |131.395233 |.0000040|-32.381275 |0.0000070|  31. |  3. |  -34. |   5. |  21. |  3. |  -41. |   5. | 579|48904.0|20.6|  236
J0823+0159 | |B0820+02 |127.650739 |.0000090|-16.89737  |0.0000300|  -6. |  7. |   17. |  24. |  -2. |  8. |   18. |  24. | 485|49281.0|18.3|  446
J0826+2637 |g|B0823+26 |122.597633 |.0000030| +7.24335  |0.0000300|  87.6|  1.0|  -85. |   8. |  65. |  3. | -103. |   8. | 907|46450.0|33.8|  237
J0828-3417 | |B0826-34 |142.5994   |.0010000|-51.1756   |0.0008000|      |     |       |      |      |     |       |      |  99|48132.0|22.9|12877
J0837+0610 | |B0834+06 |130.042956 |.0000090|-11.97746  |0.0000400|  -9. |  7. |   22. |  28. |  -3. |  9. |   24. |  27. | 534|48721.0|21.4|  313
J0846-3533 | |B0844-35 |148.73589  |.0001500|-50.88150  |0.0001400|  52. | 68. |   16. |  86. |  54. | 70. |   -8. |  85. |  99|48719.0|21.4| 1356
J0849+8028 | |B0841+80 |102.4263   |.0003000|+58.8900   |0.0003000|      |     |       |      |      |     |       |      |  57|49993.0|14.3| 2421
J0855-3331 | |B0853-33 |150.18536  |.0000300|-48.21507  |0.0000300|  10. | 21. |  -13. |  27. |   4. | 21. |  -16. |  27. | 355|49886.0|15.0| 1030
J0908-1739 | |B0906-17 |145.858905 |.0000060|-32.416435 |0.0000080|  55. |  4. |  -87. |   6. |  21. |  4. | -101. |   6. | 533|48737.0|21.5|  179
J0921+6254 | |B0917+63 |119.44021  |.0000400|+44.51302  |0.0000400|   7. | 24. |   -9. |  39. |   3. | 30. |  -11. |  34. | 156|49687.0|16.3|  594
J0922+0638 | |B0919+06 |140.830209 |.0000090| -8.33290  |0.0000600|      |     |       |      |      |     |       |      | 637|48227.0|24.0|  539
J0943+1631 | |B0940+16 |142.60801  |.0000900| +2.6974   |0.0018000|  -5. | 62. |    0. |1400. |   0. |500. |    0. |1300. | 405|48865.0|20.6| 4277
J0944-1354 | |B0942-13 |153.555711 |.0000050|-25.837471 |0.0000090|   9. |  4. |  -14. |   8. |   3. |  5. |  -17. |   8. | 447|49337.0|18.0|  251
J0946+0951 | |B0943+10 |145.4153   |.0007000| -3.378    |0.0100000|      |     |       |      |      |     |       |      | 105|48483.0|17.6|11175
