#Table: J/MNRAS/352/1439/table1.dat (cdsarc.u-strasbg.fr)
-------------------------------------------------------------------------------------------------------
          |f|              |      |             |      |            |  |    |     |     |    |     |
          |_|              |      |             |      |            |  |    |     |     |    |     |
          |P|              |      |             |      |            |  |    |     |     |    |     |
          |S|              |      |             |      |            |  |    |     |     |    |     |
          |R| R  R         |      |  D  D       |      |            |Be|   b|     |     |  e_|     |
PSRJ      |J|Ah Am      RAs| e_RAs| Ed Em    DEs| e_DEs|  GLON  GLAT|am|Dist|  S/N| S1.4|S1.4|  W50|W10
----------|-|--------------|------|-------------|------|------------|--|----|-----|-----|----|-----|---
1813-2242 | |18 13 29.16   |.08000|-22 42 06.   |42.000|  8.53 -2.33| 8|0.75| 11.9|0.21 |.030| 21.0|  -
1815-1738 | |18 15 14.672  |.00900|-17 38 03.0  | 1.200| 13.18 -0.27| 1|0.58| 13.9|0.25 |.040| 29.0|  -
1816-1446 | |18 16 29.19   |.03000|-14 46 30.   | 3.000| 15.84  0.83| 3|0.16| 17.5|0.23 |.030| 25.0|  -
1817-1511 |J|18 17 36.20   |.06000|-15 11 39.   | 6.000| 15.59  0.39| 2|0.24| 18.9|0.43 |.050| 21.0|  -
1818-1116 |J|18 18 26.45   |.06000|-11 16 29.   | 7.000| 19.14  2.07|11|0.11| 23.2|0.50 |.060| 25.0|  -
1819-0925 |J|18 19 50.542  |.01900|-09 25 49.9  | 1.300| 20.93  2.63| 9|0.68| 60.0|0.72 |.080| 20.0| 34
1819-1008 |J|18 19 39.986  |.01700|-10 08 28.   | 4.000| 20.29  2.34| 1|0.73| 21.4|0.35 |.040|  9.9|  -
1819-1131 | |18 19 58.15   |.10000|-11 31 29.   | 9.000| 19.10  1.62| 7|0.37| 10.8|0.15 |.030| 64.0|  -
1820-1529 |J|18 20 40.82   |.09000|-15 29 50.   |10.000| 15.68 -0.41|11|0.24| 19.6|0.61 |.070| 28.0|  -
1821-1419 | |18 21 34.3    |.40000|-14 19 26.   |32.000| 16.82 -0.04|12|0.20| 11.1|0.20 |.030| 99.0|  -
1822-0907 | |18 22 39.80   |.05000|-09 07 36.   | 3.000| 21.53  2.16| 1|0.71| 11.4|0.12 |.020| 28.0|  -
1822-1252 | |18 22 41.7    |.30000|-12 52 49.   |29.000| 18.22  0.39| 7|0.27| 15.0|0.25 |.040|105.0|  -
1822-1617 | |18 22 36.6    |.30000|-16 17 35.   |25.000| 15.19 -1.19| 6|0.34|  9.8|0.20 |.030|115.0|  -
1823-1126 | |18 23 19.86   |.10000|-11 26 04.   | 5.000| 19.57  0.93| 9|0.68| 36.4|0.51 |.060| 23.0| 44
1823-1526 | |18 23 21.42   |.06000|-15 26 22.   | 7.000| 16.03 -0.95| 5|0.75| 26.8|0.47 |.060| 41.0|  -
1824-1500 | |18 24 14.10   |.07000|-15 00 33.   | 8.000| 16.51 -0.93| 1|0.86| 10.9|0.16 |.030| 18.0|  -
1828-0611 | |18 28 20.715  |.00600|-06 11 51.5  |  .400| 24.78  2.28|10|0.60| 68.3|1.20 |.130| 10.0| 19
1828-1007 | |18 28 30.356  |.01500|-10 07 10.1  | 1.000| 21.32  0.42|12|0.53| 11.2|0.21 |.030|  8.7|  -
1828-1057 | |18 28 33.21   |.04000|-10 57 26.   | 3.000| 20.59  0.02|13|0.67| 11.7|0.23 |.030| 15.0|  -
1831-0823 |J|18 31 36.334  |.00800|-08 23 23.9  |  .500| 23.21  0.55|12|0.66| 78.8|0.97 |.110| 14.0| 23
1831-1423 | |18 31 29.10   |.03000|-14 23 46.   | 4.000| 17.87 -2.20|11|0.11| 13.3|0.19 |.030| 23.0|  -
1833-0556 | |18 33 38.88   |.16000|-05 56 05.   | 9.000| 25.62  1.23| 7|0.57| 11.4|0.20 |.030| 69.0|  -
1834-0633 | |18 34 29.25   |.15000|-06 33 01.1  | 6.300| 25.17  0.76| 6|0.43| 17.8|0.28 |.040|101.6|  -
1834-0731 | |18 34 16.00   |.07000|-07 31 07.   | 4.000| 24.29  0.37| 4|0.44| 46.3|1.00 |.110| 30.0|  -
1834-0742 |J|18 34 31.32   |.03000|-07 42 20.6  | 1.400| 24.15  0.22| 2|0.22| 27.4|0.35 |.040| 18.0|  -
1834-1202 | |18 34 23.12   |.03000|-12 02 26.4  | 1.300| 20.29 -1.74| 2|1.01| 26.4|0.70 |.080| 63.0| 87
1835-0522 | |18 35 08.12   |.05000|-05 22 08.   | 3.000| 26.30  1.16| 6|0.76| 18.4|0.23 |.030| 23.0|  -
1836-0517 | |18 36 25.20   |.11000|-05 17 35.   | 4.000| 26.51  0.91| 1|0.89|  9.5|0.15 |.030| 13.0|  -
1838-0549 | |18 38 38.09   |.03000|-05 49 12.   | 3.000| 26.30  0.18|11|0.37| 18.9|0.29 |.040|  7.0|  -
1838-0624 | |18 38 51.78   |.11000|-06 24 54.   | 4.000| 25.79 -0.14| 5|0.54| 10.9|0.16 |.030| 36.0|  -
1839-0905 | |18 39 53.458  |.02000|-09 05 14.8  | 1.400| 23.53 -1.59|13|0.69| 12.1|0.16 |.030| 17.0|  -
1840-0559 | |18 40 23.18   |.04000|-05 59 16.2  | 1.800| 26.35 -0.28|12|1.16| 12.7|0.31 |.040| 16.0| 34
1840-0809 |J|18 40 33.364  |.00600|-08 09 03.3  |  .400| 24.44 -1.31| 1|1.02|134.2|2.3  |.200| 10.0| 35
1840-0815 |J|18 40 13.775  |.01300|-08 15 10.6  |  .700| 24.31 -1.28| 1|1.79| 19.6|1.40 |.150| 22.0| 35
1840-1122 | |18 40 24.066  |.01900|-11 22 10.7  | 1.600| 21.56 -2.74| 3|0.87| 14.5|0.13 |.020| 11.0|  -
1841-0157 |J|18 41 56.207  |.02000|-01 57 54.6  |  .800| 30.10  1.22| 9|0.35| 97.7|0.81 |.090| 21.0|  -
1841-0310 | |18 41 25.89   |.14000|-03 10 21.   | 9.000| 28.97  0.78|13|0.39| 14.1|0.15 |.030| 59.0|  -
