          |           |   N|     |    E| R  R           |        |  D  D          |       |       |    e|       |      |                  |        |         |       |    | e_|        |     |        |      |         |       |                |           |           |      |           |         |        |      e|          |     |         |        |          |   E|      |               |       |           |             |      |      |      d|    e_d|          |       e|        |e_dP/|      d|e_dP/|g|     |_|    |   M
PSR       | MJD1  MJD2|TOAs|  rms|pochR|Ah Am        RAs|   e_RAs| Ed Em       DEs|  e_DEs|   pmRA|_pmRA|   pmDE|e_pmDE|               Per|   e_Per|    dP/dt|e_dP/dt| plx|plx|      DM| e_DM|     DM1| e_DM1|      DM2|  e_DM2|              Pb|       e_Pb|         T0|  e_T0|          x|      e_x|  Omega0|_Omega0|         e|  e_e|    kappa| e_kappa|       eta|_eta| e_eta|            Tan|  e_Tan| GLON  GLAT|   d   E_  e_|   CPM| e_CPM|P/dtSHK|P/dtSHK|   dP/dtKZ|_dP/dtKZ|dP/dtDGR|dtDGR|P/dtInt|dtInt|e|  Age|B|   B|2min
----------|-----------|----|-----|-----|----------------|--------|----------------|-------|-------|-----|-------|------|------------------|--------|---------|-------|----|---|--------|-----|--------|------|---------|-------|----------------|-----------|-----------|------|-----------|---------|--------|-------|----------|-----|---------|--------|----------|----|------|---------------|-------|-----------|-------------|------|------|-------|-------|----------|--------|--------|-----|-------|-----|-|-----|-|----|----
J1713+0747|50360-56810|1188| 0.68|55000|17 13 49.5331754|.0000005|+07 47 37.492536|.000016|  4.923| .003| -3.909|  .005| 4.570136598154477|  12E-15| 0.852919|.000013|0.90|.03| 15.9930|.0003| 0.00006|.00003| 0.000006|.000005| 67.8251309745  |   1400E-12|48741.9737 |.0003 |32.34241956|.00000015|176.1989|  .0015|7.49421E-5|7E-5 |---      |        |---       |    |      |---            |       | 28.8  25.2|1108+  35- 33| 6.286|  .004|0.049  | .002  |-0.0277   |.0004   | 0.020  |.002 | 0.812 | .002| | 8.9 | | 1.9|0.26
J1721-2457|52076-56737| 150|11.7 |55000|17 21 05.4979   |.0003   |-24 57 06.17    |.05    |  1.9  |1.2  |-25.   |16.   | 3.496633783466   |6000E-15| 0.556   |.007   |--- |   | 48.33  |.15  |-0.00   |.02   |-0.002   |.004   |---             |           |---        |      |---        |         |---     |       |---       |     |---      |        |---       |    |      |---            |       |  0.4   6.8| ---         |26.   |16.   |0.7    | .9    |-0.00298  |.00005  | 0.047  |.004 | 0.0   | .7  |>| 7.9 |<| 1.6|---
J1730-2304|50734-56830| 268| 1.6 |55000|17 30 21.66835  |.00013  |-23 04 31.16    |.04    | 20.7  | .7  |  9.   |12.   | 8.1227980469486  | 700E-15| 2.0196  |.0011  |0.86|.32|  9.622 |.009 | 0.001  |.001  |-0.0004  |.0003  |---             |           |---        |      |---        |         |---     |       |---       |     |---      |        |---       |    |      |---            |       |  3.1   6.0| 904+ 382-216|23.   | 5.   |0.9    | .5    |-0.004    |.001    | 0.07   |.03  | 1.0   | .6  | |12.3 | | 2.9|---
J1738+0333|54103-56780| 318| 3.0 |55000|17 38 53.966375 |.000011 |+03 33 10.8720  |.0004  |  7.08 | .06 |  4.97 |  .19 | 5.850095860612   |5000E-15| 2.410   |.004   |--- |   | 33.798 |.018 |-0.01   |.01   | 0.000   |.002   |  0.35479073990 |     30E-12|52500.25   |.03   | 0.3434304 |.0000004 | 52.    |27.    |3.6E-6    |18E-6|2.9E-6   |20E-6   |2.2E-6    |    | 16E-6|52500.1940106  | 300E-9| 27.7  17.7| ---         | 8.65 |  .12 |0.15   |       |-0.024    |        | 0.039  |     | 2.24  |     | | 4.1 | | 3.7|0.08
J1744-1134|50460-56761| 536| 0.86|55000|17 44 29.4075373|.0000014|-11 34 54.69437 |.00011 | 18.810| .006| -9.36 |  .03 | 4.074545941825154|  15E-15| 0.89347 |.00004 |2.38|.08|  3.1312|.0017|-0.01   |.01   | 0.000   |.002   |---             |           |---        |      |---        |         |---     |       |---       |     |---      |        |---       |    |      |---            |       | 14.8   9.2| 419+  14- 13|21.009|  .015|0.183  | .006  |-0.00248  |.00006  | 0.013  |.001 | 0.699 | .007| | 9.2 | | 1.7|---
J1751-2857|53746-56782| 144| 3.0 |55000|17 51 32.693197 |.000017 |-28 57 46.520   |.003   | -7.4  | .1  | -4.3  | 1.2  | 3.914873259435   |3000E-15| 1.121   |.003   |--- |   | 42.84  |.03  |-0.01   |.01   | 0.001   |.002   |110.74646080    |  40000E-12|52491.574  |.004  |32.5282215 |.0000020 | 45.508 |  .011 |1.2795E-4 |3E-4 |---      |        |---       |    |      |---            |       |  0.6  -1.1| ---         | 8.5  |  .6  |0.077  |       |-0.0002   |        | 0.045  |     | 0.999 |     | | 6.2 | | 2. |0.18
J1801-1417|54206-56782| 126| 2.6 |55000|18 01 51.073331 |.000019 |-14 17 34.526   |.002   |-10.89 | .12 | -3.0  | 1.0  | 3.6250967171671  |1700E-15| 0.530   |.003   |--- |   | 57.26  |.04  | 0.004  |.007  | 0.000   |.002   |---             |           |---        |      |---        |         |---     |       |---       |     |---      |        |---       |    |      |---            |       | 14.5   4.2| ---         |11.3  |  .3  |0.17   |       |-0.0012   |        | 0.05   |     | 0.31  |     | |18.5 | | 1.1|---
J1802-2124|54188-56831| 522| 2.7 |55000|18 02 05.33522  |.00002  |-21 24 03.653   |.008   | -1.13 | .12 | -3.   | 4.   |12.6475937923794  |1600E-15| 7.291   |.003   |1.24|.57|149.614 |.009 |-0.002  |.002  | 0.0005  |.0006  |  0.698889254216|      9E-12|52595.851  |.014  | 3.718853  |.000003  | 29.    | 7.    |2.9E-6    |3E-6 |1.4E-6   |4E-6    |2.59E-6   |    | 17E-6|52595.79522502 |  40E-9|  8.4   0.6| 640+ 436-195| 3.   | 4.   |0.02   | .05   |-0.000083 |.000004 | 0.07   |.06  | 7.19  | .08 | | 2.8 | | 9.7|0.76
J1804-2717|53766-56827| 116| 3.1 |55000|18 04 21.133087 |.000019 |-27 17 31.335   |.004   |  2.56 | .15 |-17.   | 3.   | 9.343030844543   |4000E-15| 4.085   |.005   |--- |   | 24.74  |.04  |-0.005  |.006  | 0.000   |.001   | 11.128711967   |   3000E-12|49615.080  |.009  | 7.2814525 |.0000007 |158.7   |  .3   |3.406E-5  |16E-5|---      |        |---       |    |      |---            |       |  3.5  -2.7|---          |17.   | 3.   |0.53   |       |-0.0014   |        | 0.071  |     | 3.49  |     | | 4.2 | | 5.8|0.19
J1843-1113|53156-56829| 224| 0.71|55000|18 43 41.261917 |.000012 |-11 13 31.0686  |.0007  | -1.91 | .07 | -3.2  |  .3  | 1.8456663232093  | 600E-15| 0.9554  |.0007  |0.69|.33| 59.964 |.008 | 0.002  |.004  | 0.0005  |.0009  |---             |           |---        |      |---        |         |---     |       |---       |     |---      |        |---       |    |      |---            |       | 22.1  -3.4|1092+ 666-318| 3.8  |  .3  |0.007  | .004  |-0.0004   |.0003   | 0.014  |.009 | 0.94  | .01 | | 3.1 | | 1.3|---
